,Masthead / stub information,Filipino,Chinese,Spanish,,,
,OFFICIAL BALLOT,,正式選票,BOLETA OFICIAL,,,
,Consolidated Presidential Primary Election,,聯合總統初選,Elecciones Presidenciales Primarias Consolidadas,,,
,Consolidated Statewide Direct Primary Election,"Pambuong-estadong Tuwirang Primaryang Halalan (needs ""Consolidated"")",全州聯合直接初選,Elecciones Estatales Primarias Directas Consolidadas,,,
,Consolidated General Election,,聯合普選,Elecciones Generales Consolidadas,,,
,Statewide Special Election,,全州特別選舉,Elecciones Estatales Especiales,,,
,Municipal Election,,市政選舉,Elecciones Municipales,,,
,City and County of San Francisco,,三藩市市縣,Ciudad y Condado de San Francisco,,,
,(fill in date),,(fill in date),(fill in date),,,
,,,,,,,
,Party card information,,,,,,
,AMERICAN INDEPENDENT PARTY BALLOT,,美國獨立黨選票,BOLETA DEL PARTIDO AMERICANO INDEPENDIENTE,,,
,DEMOCRATIC PARTY BALLOT,,民主黨選票,BOLETA DEL PARTIDO DEMÓCRATA,,,
,GREEN PARTY BALLOT,,綠黨選票,BOLETA DEL PARTIDO VERDE,,,
,LIBERTARIAN PARTY BALLOT,,自由論黨選票,BOLETA DEL PARTIDO LIBERTARIO,,,
,PEACE AND FREEDOM PARTY BALLOT,,和平自由黨選票,BOLETA DEL PARTIDO PAZ Y LIBERTAD,,,
,REPUBLICAN PARTY BALLOT,,共和黨選票,BOLETA DEL PARTIDO REPUBLICANO,,,
,(NPP) DEMOCRATIC PARTY BALLOT,,民主黨選票,BOLETA DEL PARTIDO DEMÓCRATA,,,
,(NPP) AMERICAN INDEPENDENT PARTY BALLOT,,美國獨立黨選票,BOLETA DEL PARTIDO AMERICANO INDEPENDIENTE,,,
,NONPARTISAN BALLOT,,無黨派選票,BOLETA NO PARTIDARIA,partidiario for consistency with SOS (note for Spanish),,
,,,,,,,
,,,,,,,
,Voter Instructions (General):,,,,,,
,Remove this voter stub,,撕下此部分作為選民存根,Desprenda este talón para el elector,,,
,"INSTRUCTIONS TO VOTERS: Complete the arrow pointing to your choice, as shown in the picture. If you make a mistake, you may request a new ballot. To vote for a qualified write-in candidate who is not listed on the ballot, write the person's name on the blank line at the end of the candidate list and complete the arrow.
",,選民指南：將指向您的選擇的箭頭和箭尾劃線連接起來，如圖所示。如果填寫錯誤，您可以要求一份新的選票。如果想要投選某個未列在選票上的合格補寫候選人，在候選人名單末提供的空位上填寫此人的姓名並將箭頭和箭尾劃線連接起來。,"INSTRUCCIONES PARA LOS ELECTORES: Complete la flecha de manera que apunte hacia su selección, tal como se indica en la imagen. Si comete algún error, puede pedir otra boleta. Para votar por un candidato calificado no listado cuyo nombre no aparezca en la boleta, escriba el nombre de la persona en el espacio en blanco al final de la lista de candidatos y complete la flecha.",,,
,"INSTRUCTIONS TO VOTERS: Complete the arrow pointing to your choice, as shown in the picture.  If you make a mistake, you may request a new ballot. To vote for a qualified write-in candidate who is not listed on the ballot, write the person's name on the blank line at the end of the candidate list and complete the arrow. Write-in candidates are not permitted at the general election for a voter-nominated office.",,選民指示：將指向您選擇的箭頭和箭尾劃線連接起來，如圖所示。如果填寫錯誤，您可以要求一份新的選票。如果想要投選某個未列在選票上的合格補寫候選人，在候選人名單末提供的空位上填寫此人的姓名並將箭頭和箭尾劃線連接起來。普選中的選民提名職位不允許補寫候選人。,"INSTRUCCIONES PARA LOS ELECTORES: Complete la flecha de manera que apunte hacia su selección, tal como se indica en la imagen. Si comete algún error, puede pedir otra boleta. Para votar por un candidato calificado no listado cuyo nombre no aparezca en la boleta, escriba el nombre de la persona en el espacio en blanco al final de la lista de candidatos y complete la flecha. No se permiten candidatos no listados en las elecciones generales para cargos nominados por los electores. ",,,
,Start here,,在此開始,Empiece aquí,"We include this above first column on Card 1, when state contests of uniform size, three columns, might resemble RCV contests (see Card 1, Nov. 2010)",,
,Vote both sides of ballot,,請在選票兩面投票,Vote en ambos lados de la boleta,,,
,"If there are no candidates for a partisan office, that contest does not appear on the ballot.",,如果某個黨派職位無候選人參選，則該選舉項目不會出現在選票上。,"Si no hay candidatos a un cargo partidario, la contienda no aparece en la boleta.",,,
,,,,,,,
,WRITE-IN,,補寫候選人,NO LISTADO,Appears on accessible ballot only,,
,,,,,,,
,"Voter Instructions (Measures-only card, if applicable)",,,,,,
,"INSTRUCTIONS TO VOTERS: Complete the arrow pointing to your choice, as shown in the picture. If you make a mistake, you may request a new ballot.",,選民指示：將指向您的選擇的箭頭和箭尾劃線連接起來，如圖所示。如果填寫錯誤，您可以要求一份新的選票。,"INSTRUCCIONES PARA LOS ELECTORES: Complete la flecha de manera que apunte hacia su selección, tal como se indica en la imagen. Si comete algún error, puede pedir otra boleta.",,,
,"Voter Instructions (Ranked-Choice Voting card, if applicable):",,,,,,
,"INSTRUCTIONS TO VOTERS: You may rank up to three choices. Mark your first choice in the first column by completing the arrow pointing to your choice, as shown in the picture. To indicate a second choice, select a different candidate in the second column. To indicate a third choice, select a different candidate in the third column. To rank fewer than three candidates, leave any remaining columns blank. To vote for a qualified write-in candidate who is not listed on the ballot, write the person's name on the blank line at the end of the candidate list and complete the arrow. If you make a mistake, you may request a new ballot.",,選民指示：您可以最多投選三個選擇。在第一列標記您的第一個選擇時，將指向您的選擇的箭頭和箭尾劃線連接起來，如圖所示。標記第二個選擇時，在第二列中選擇一名不同的候選人。標記第三個選擇時，在第三列中選擇一名不同的候選人。如果投選的候選人少於三名候選人，多餘欄目可留為空白。如果想要投選某個未列在選票上的合格補寫候選人，在候選人名單末提供的空位上填寫此人的姓名並將箭頭和箭尾劃線連接起來。如果填寫錯誤，您可以要求一份新的選票。,"INSTRUCCIONES PARA LOS ELECTORES: Puede seleccionar un máximo de tres opciones por orden de preferencia. Marque su primera preferencia en la primera columna completando la flecha de manera que apunte hacia su selección, tal como se indica en la imagen. Para indicar una segunda preferencia, seleccione el nombre de otro candidato en la segunda columna. Para indicar una tercera preferencia, seleccione a otro candidato en la tercera columna. Para seleccionar por orden de preferencia a menos de tres candidatos, deje en blanco las columnas restantes. Para votar por un candidato calificado no listado cuyo nombre no aparezca en la boleta, escriba el nombre de la persona en el espacio en blanco al final de la lista de candidatos y complete la flecha. Si comete algún error, puede pedir otra boleta.",,,
,"Vote your first, second, and third choices",,投選您的第一、第二和第三選擇,"Vote por su primera, segunda y tercera preferencias",,,
,FIRST CHOICE,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,選一名,Vote por uno,,,
,SECOND CHOICE,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,
,,,,,,,
for primary (from June 12),"Party-Nominated Offices.
Only voters who disclosed a preference upon registering to vote for the same party as the candidate seeking the nomination of any party for the Presidency or election to a party committee may vote for that candidate at the primary election, unless the party has adopted a rule to permit non-party voters to vote in its primary elections.
",,"政黨提名職位。
除非該黨另訂規則允許無黨派選民參加其初選投票，否則只有選民在登記投票時披露的政黨傾向與正尋求其政黨的總統提名或政黨委員會選舉之候選人相同，才可在初選中為該候選人投票。
","Cargos Nominados por los Partidos.
Solo los electores que, al inscribirse para votar, hayan revelado una preferencia por el mismo partido del candidato que busca la nominación de cualquier partido a la presidencia o la elección a un comité partidiario, pueden votar por ese candidato en las elecciones primarias, a menos que el partido haya adoptado una regla que permita a los electores no partidiarios votar en sus elecciones primarias.
",,,
for general election (Nov 12),"Party-Nominated Offices.
The party label accompanying the name of a candidate for party-nominated office on the general election ballot means that the candidate is the official nominee of the party shown.
","Mga Iminumungkahi-ng-Partido na Katungkulan.

Ang tatak ng partido na kasama ng pangalan ng isang kandidato para sa iminumungkahi-ng-partido na katungkulan sa balota ng pangkalahatang halalan ay nangangahulugang ang kandidato ay ang opisyal na iminungkahi ng partidong ipinakikita.
","政黨提名職位。
在普選選票上政黨提名職位候選人姓名隨附的政黨標籤，是指候選人是該政黨的官方被提名人。

","Cargos Nominados por los Partidos.
La etiqueta del partido que acompaña el nombre de un candidato para un cargo nominado por el partido en la boleta de las elecciones generales significa que el candidato es el nominado oficial del partido indicado.
",,,
for general election (Nov 12),"Voter-Nominated and Nonpartisan Offices.
All voters, regardless of the party preference they disclosed upon registration, or refusal to disclose a party preference, may vote for any candidate for a voter-nominated or nonpartisan office. The party preference, if any, designated by a candidate for a voter-nominated office is selected by the candidate and is shown for the information of the voters only. It does not imply that the candidate is nominated or endorsed by the party or that the party approves of the candidate. The party preference, if any, of a candidate for a nonpartisan office does not appear on the ballot.
","Mga Iminumungkahi-ng-Botante at Di-partidistang Katungkulan.

Lahat ng botante, sa kabila ng kinakatigang partido na isiniwalat nila noong nagpaparehistro, o pagtangging isiwalat ang kinakatigang partido, ay maaaring bumoto para sa sinumang kandidato para sa isang iminumungkahi-ng-botante o di-partidistang katungkulan. Ang kinakatigang partido, kung mayroon, na itinalaga ng isang kandidato para sa isang iminumungkahi-ng-botante na katungkulan ay pinipili ng isang kandidato at ipinakikita para sa impormasyon ng mga botante lamang. Ito ay hindi nagpapahiwatig na ang kandidato ay iminumungkahi o inirerekomenda ng partido. Ang kinakatigang partido, kung mayroon, ng isang kandidato para sa isang di-partidistang katungkulan ay hindi lumilitaw sa balota.
","選民提名職位和非黨派職位。
所有選民，不論在登記時披露政黨傾向或謝絕表態，均可投票給選民提名職位或是非黨派職位的任何候選人。如果選民提名職位的候選人表明政黨傾向，這是該候選人之個人選擇，而且僅提供作為選民參考。它並非表示候選人受到該政黨提名或舉名支持，也不代表候選人受到該政黨認可。選票上的非黨派職位不會列出候選人的政黨傾向（若有）。.
","Cargos Nominados por los Electores y Cargos No Partidarios.
Todos los electores, sin importar la preferencia por partido que hayan revelado al inscribirse, o su negativa de revelar una preferencia por partido, pueden votar por cualquier candidato a un cargo nominado por los electores o no partidario. La preferencia por partido, si la hubiera, designada por un candidato a un cargo nominado por los electores, es seleccionada por el candidato y se muestra solo para la información de los electores. No implica que el candidato esté nominado ni ratificado por el partido ni que el partido apruebe al candidato. La preferencia por partido, si la hubiera, de un candidato por un cargo no partidario, no aparece en la boleta electoral.
",,,
,,,,,,,
,Headings,,,,,,
,Presidential Preference,,選擇總統候選人,Preferencia por un candidato presidencial,,,
,PARTY-NOMINATED OFFICES,,政黨提名職位,CARGOS NOMINADOS POR LOS PARTIDOS,,,
,VOTER-NOMINATED OFFICES,,選民提名職位,CARGOS NOMINADOS POR LOS ELECTORES,,,
,NONPARTISAN OFFICES,,無黨派職位,CARGOS NO PARTIDARIOS,,,
,FEDERAL,,聯邦,FEDERAL,,,
,STATE,,州,ESTADO,,,
,CITY AND COUNTY,,市縣,CIUDAD Y CONDADO,,,
,SCHOOL,,學校,ESCUELA,,,
,DISTRICT,,區,DISTRITO,,,
,JUDICIAL,,司法,JUDICIAL,,,
,MEASURES SUBMITTED TO THE VOTERS,,提交選民投票表決的提案,INICIATIVAS DE LEY PRESENTADAS A LOS ELECTORES,,,
,STATE PROPOSITIONS,,州提案,PROPOSICIONES ESTATALES,,,
,SCHOOL PROPOSITIONS,,學校提案,PROPOSICIONES ESCOLARES,,,
,COUNTY TRANSPORTATION AUTHORITY PROPOSITION,,縣交通局提案,PROPOSICIÓN DE LA AUTORIDAD DE TRANSPORTE DEL CONDADO,,,
,CITY AND COUNTY PROPOSITIONS,,市縣提案,PROPOSICIONES DE LA CIUDAD Y EL CONDADO,,,
,PROPOSITION X,,提案X,PROPOSICIÓN X,,,PROPOSICIÓN X
,"""Vote for"" information",,,,,,
,Vote for One,,選一名,Vote por uno,,,
,Vote for no more than 12,,選不超過12名,Vote por no más de 12,,,
,Vote for One Party,,選一黨,Vote por un partido,,,
,Vote for no more than Four,,選不超過四名,Vote por no más de cuatro,,,
,Vote for no more than Three,,選不超過三名,Vote por no más de tres,,,
,,,,,,,
,"""Party preference"" information",,,,,,
,Party Preference:,Kinakatigang Partido: ,政黨傾向：,Preferencia por partido:,,,
,Democratic,Demokratiko,民主黨,Demócrata,,,
,Green,Luntian,綠黨,Verde,,,
,American Independent,Amerikanong Independiyente,美國獨立黨,Americano Independiente,,,
,Republican,Republikano,共和黨,Republicano,,,
,Libertarian,Libertaryan,自由論黨,Libertario,,,
,Peace and Freedom,Kapayapaan at Kalayaan,和平自由黨,Paz y Libertad,,,
,Americans Elect,Mga Amerikanong Naghahalal,美國人選舉黨,Americanos Eligen,,,
,None,Walang Kinakatigang Partido,沒有,Ninguno,"question: for ""Party Preference: None"" in Filipino, would we use ""Kinakatigang Partido: Wala"" or ""Kinakatigang Partido: Walang Kinakatigang Partido""?",,
